@relation 'snake_game-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R6,8,18-19-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Score numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Horizontal_weight numeric
@attribute Vertical_weight numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.212766,0.148936,0.23913,0.456522,0.247803,0.787234,0.851064,0.5,1,0.5,1,0.319149,0.042553,0.730665,0.961226,DOWN
0.382979,0.702128,0.652174,0.652174,0.177153,0.617021,0.297872,1,0.5,0.75,0.75,0.361702,0.531915,0.043284,0.905872,RIGHT
0.106383,0.148936,0.630435,0.673913,0.296661,0.893617,0.851064,0.5,1,0.5,1,0.489362,0.06383,0.897145,0.985293,DOWN
0.574468,0.148936,0.652174,0.978261,0.376098,0.425532,0.851064,1,0.5,1,0.5,0.276596,0.021277,0.016702,0.838218,RIGHT
0.021277,0.255319,0.195652,0.826087,0.316344,0.978723,0.744681,0.5,1,0.5,1,0.212766,0,0.707598,0.98429,DOWN
0.638298,0.829787,0.695652,0.804348,0.226714,0.361702,0.170213,0,0.5,0,0.5,0.723404,0.659574,0.968427,0.812197,LEFT
0.361702,0.829787,0.543478,0.826087,0.336731,0.638298,0.170213,1,0.5,1,0.5,0.021277,0.702128,0.014601,0.632313,RIGHT
0.914894,0.531915,0.521739,0.717391,0.415466,0.085106,0.468085,0.5,1,0.5,1,0.829787,0.234043,0.35791,0.987058,DOWN
0.829787,0.425532,0.608696,0.434783,0.679789,0.170213,0.574468,1,0.5,1,0.5,0.574468,0.489362,0.00407,0.557606,DOWN
0.361702,0.851064,0.347826,0.891304,0.253076,0.638298,0.148936,0.5,1,0.5,1,0.531915,0.531915,0.669154,0.986212,DOWN
