@relation snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Score numeric
@attribute Length numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.17542,-1.477814,1.399091,0.814034,1.597116,1.665981,0.17542,-0.17542,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.026442,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.228337,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
0.25844,-1.477814,1.399091,0.814034,1.50782,1.665981,0.25844,-0.25844,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.110093,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.229552,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
0.341461,-1.477814,1.399091,0.814034,1.418525,1.665981,0.341461,-0.341461,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.193744,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.230768,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
0.424481,-1.477814,1.399091,0.814034,1.329229,1.665981,0.424481,-0.424481,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.277396,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.231983,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
0.507502,-1.477814,1.399091,0.814034,1.239933,1.665981,0.507502,-0.507502,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.361047,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.233198,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
0.590522,-1.477814,1.399091,0.814034,1.150638,1.665981,0.590522,-0.590522,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.444698,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.234414,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
0.673543,-1.477814,1.399091,0.814034,1.061342,1.665981,0.673543,-0.673543,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.528349,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.235629,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
0.756563,-1.477814,1.399091,0.814034,0.972046,1.665981,0.756563,-0.756563,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.612,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.236844,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
0.839584,-1.477814,1.399091,0.814034,0.88275,1.665981,0.839584,-0.839584,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.695652,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.23806,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
0.922604,-1.477814,1.399091,0.814034,0.793455,1.665981,0.922604,-0.922604,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.779303,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.239275,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
