@relation InstanceResultListener

@attribute Key_Dataset {'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18'}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.meta.LogitBoost,weka.classifiers.lazy.IBk,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {-1105660358715833753,-3080186098777067172,-5990607817048210779,-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',2,5,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1498,113,0,92.985723,7.014277,0,0.906396,0.060716,0.167806,16.208524,38.774159,3218.239476,506.598007,2711.641469,1.997666,0.314462,1.683204,2819.366113,1.750072,87.605852,0.924933,345,0.022617,28,0.977383,1210,0.075067,28,0.924933,0.924933,0.924933,0.902316,0.992418,0.972779,0.929857,0.023159,0.976841,0.070143,0.930128,0.929857,0.929921,0.906674,0.990994,0.974839,0.929507,0.929857,0.364,0.003,0.34375,0,343.75,0,9231,1013840,255059,99.006828,35.816263,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',3,1,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1485,126,0,92.178771,7.821229,0,0.895624,0.067254,0.177837,17.953928,41.091952,3218.239476,552.152624,2666.086851,1.997666,0.342739,1.654927,2775.239966,1.722682,86.234725,0.922252,344,0.027464,34,0.972536,1204,0.077748,29,0.910053,0.922252,0.916112,0.890651,0.990407,0.97036,0.921788,0.026006,0.973994,0.078212,0.921905,0.921788,0.921803,0.895712,0.989696,0.970388,0.921626,0.921788,0.396,0.003,0.40625,0,406.25,0,9231,1013840,255059,99.193048,37.77157,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',3,2,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1502,109,0,93.234016,6.765984,0,0.909674,0.060706,0.167982,16.205862,38.81474,3218.239476,504.272074,2713.967401,1.997666,0.313018,1.684648,2819.956967,1.750439,87.624212,0.914209,341,0.020194,25,0.979806,1213,0.085791,32,0.931694,0.914209,0.922869,0.899983,0.990035,0.969878,0.93234,0.022694,0.977306,0.06766,0.932392,0.93234,0.932311,0.909773,0.990986,0.974869,0.93206,0.93234,0.346,0.002,0.34375,0,343.75,0,9231,1013840,255059,98.944755,34.83861,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',3,3,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1495,116,0,92.799503,7.200497,0,0.903905,0.065472,0.171633,17.478086,39.658515,3218.239476,530.023658,2688.215817,1.997666,0.329003,1.668663,2792.773538,1.733565,86.779544,0.922252,344,0.029887,37,0.970113,1201,0.077748,29,0.902887,0.922252,0.912467,0.885813,0.988387,0.965131,0.927995,0.023935,0.976065,0.072005,0.928174,0.927995,0.928046,0.904037,0.990404,0.972723,0.927816,0.927995,0.353,0.002,0.359375,0,359.375,0,9231,1013840,255059,99.317194,38.345748,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',3,4,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1504,107,0,93.358163,6.641837,0,0.91133,0.064617,0.165471,17.249839,38.234679,3218.239476,488.668813,2729.570663,1.997666,0.303333,1.694333,2802.156473,1.739389,87.071099,0.911528,340,0.021002,26,0.978998,1212,0.088472,33,0.928962,0.911528,0.920162,0.896471,0.99074,0.968706,0.933582,0.022358,0.977642,0.066418,0.933583,0.933582,0.933539,0.911336,0.992319,0.978168,0.933419,0.933582,0.331,0.004,0.328125,0,328.125,0,9231,1013840,255059,99.627561,38.268156,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',3,5,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1511,100,0,93.792675,6.207325,0,0.917142,0.057741,0.160771,15.414419,37.149105,3218.129631,483.490111,2734.639521,1.997598,0.300118,1.69748,2844.207192,1.765492,88.380753,0.935657,349,0.023425,29,0.976575,1209,0.064343,24,0.92328,0.935657,0.929427,0.908014,0.991202,0.971175,0.937927,0.02065,0.97935,0.062073,0.937979,0.937927,0.937905,0.917311,0.990964,0.974555,0.937524,0.937927,0.343,0.002,0.34375,0,343.75,0,9231,1013840,255059,99.068901,35.133457,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',4,1,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1495,116,0,92.799503,7.200497,0,0.903909,0.065349,0.173646,17.445617,40.124172,3218.129631,541.158106,2676.971526,1.997598,0.335914,1.661683,2791.750698,1.73293,86.750722,0.924933,345,0.025848,32,0.974152,1206,0.075067,28,0.915119,0.924933,0.92,0.895751,0.990511,0.967477,0.927995,0.023818,0.976182,0.072005,0.928205,0.927995,0.928047,0.904117,0.9898,0.971352,0.92771,0.927995,0.353,0.003,0.34375,0,343.75,0,9231,1013840,255059,99.255121,36.85599,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',4,2,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1479,132,0,91.806331,8.193669,0,0.890643,0.063779,0.178693,17.026229,41.28965,3218.239476,551.263097,2666.976379,1.997666,0.342187,1.655479,2789.219798,1.731359,86.669119,0.908847,339,0.029079,36,0.970921,1202,0.091153,34,0.904,0.908847,0.906417,0.878128,0.989508,0.966728,0.918063,0.027306,0.972694,0.081937,0.918097,0.918063,0.91807,0.890712,0.990233,0.971957,0.917837,0.918063,0.33,0.004,0.3125,0,312.5,0,9231,1013840,255059,99.130975,35.38175,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',4,3,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1504,107,0,93.358163,6.641837,0,0.911331,0.061236,0.165796,16.34726,38.309614,3218.239476,498.459136,2719.78034,1.997666,0.30941,1.688256,2820.598218,1.750837,87.644137,0.922252,344,0.023425,29,0.976575,1209,0.077748,29,0.922252,0.922252,0.922252,0.898827,0.990325,0.972099,0.933582,0.022292,0.977708,0.066418,0.933821,0.933582,0.933586,0.911508,0.990749,0.973564,0.933349,0.933582,0.366,0.002,0.359375,0,359.375,0,9231,1013840,255059,99.130975,36.499069,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',4,4,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.1831,6444,1611,1498,113,0,92.985723,7.014277,0,0.906381,0.062221,0.168529,16.610408,38.941302,3218.239476,508.200095,2710.039381,1.997666,0.315456,1.682209,2812.664252,1.745912,87.397606,0.914209,341,0.02504,31,0.97496,1207,0.085791,32,0.916667,0.914209,0.915436,0.890004,0.989206,0.964972,0.929857,0.023403,0.976597,0.070143,0.929839,0.929857,0.929836,0.906402,0.991256,0.974907,0.92966,0.929857,0.381,0.003,0.34375,0,343.75,0,9231,1013840,255059,99.565487,37.057728,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',4,5,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.1831,6444,1611,1512,99,0,93.854749,6.145251,0,0.91796,0.060343,0.158306,16.109027,36.579022,3218.239476,465.495129,2752.744347,1.997666,0.288948,1.708718,2833.724088,1.758985,88.051996,0.924933,345,0.021002,26,0.978998,1212,0.075067,28,0.929919,0.924933,0.927419,0.905633,0.990743,0.974967,0.938547,0.020664,0.979336,0.061453,0.938622,0.938547,0.938547,0.918034,0.99236,0.979106,0.93837,0.938547,0.353,0.002,0.34375,0,343.75,0,9231,1013840,255059,99.379268,36.964618,?
