@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
1.093517,-1.536327,0.114642,-0.240788,-1.093517,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
1.174156,-1.536327,0.039602,-0.240788,-1.174156,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
1.254795,-1.536327,-0.035437,-0.240788,-1.254795,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,UP
1.254795,-1.614247,-0.035437,-0.163219,-1.254795,1.614247,-0.028297,-1.468235,0.674743,-0.758578,3.318423,3.321718,1.821615,-0.570481,-0.610712,UP
1.254795,-1.692166,-0.935911,1.853587,-1.254795,1.692166,-0.028297,-1.468235,-0.029072,-1.496637,3.318423,3.321718,1.821615,-0.570481,-0.610712,UP
1.254795,-1.770086,-0.935911,1.931157,-1.254795,1.770086,-0.028297,-1.468235,-0.029072,-1.496637,3.318423,3.321718,1.821615,-0.570481,-0.610712,RIGHT
1.335434,-1.770086,-1.01095,1.931157,-1.335434,1.770086,1.355104,-0.020272,0.674743,-0.758578,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
1.416073,-1.770086,-1.08599,1.931157,-1.416073,1.770086,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
1.496712,-1.770086,-1.161029,1.931157,-1.496712,1.770086,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
1.577351,-1.770086,-1.236068,1.931157,-1.577351,1.770086,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
1.657991,-1.770086,-1.311108,1.931157,-1.657991,1.770086,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
1.73863,-1.770086,-1.386147,1.931157,-1.73863,1.770086,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
1.819269,-1.770086,-1.461187,1.931157,-1.819269,1.770086,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,DOWN
