@relation snake_game-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.382219,-1.490383,1.091555,-1.176743,1.011402,0.093215,0.382219,-0.382219,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,0.220077,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
0.464404,-1.490383,1.091555,-1.176743,0.918459,0.093215,0.464404,-0.464404,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,0.301693,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
0.546588,-1.490383,1.091555,-1.176743,0.825516,0.093215,0.546588,-0.546588,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,0.383308,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
0.628773,-1.490383,1.091555,-1.176743,0.732574,0.093215,0.628773,-0.628773,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,0.464923,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
0.710958,-1.490383,1.091555,-1.176743,0.639631,0.093215,0.710958,-0.710958,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,0.546539,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
0.793142,-1.490383,1.091555,-1.176743,0.546688,0.093215,0.793142,-0.793142,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,0.628154,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
0.875327,-1.490383,1.091555,-1.176743,0.453745,0.093215,0.875327,-0.875327,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,0.709769,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
0.957512,-1.490383,1.091555,-1.176743,0.360802,0.093215,0.957512,-0.957512,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,0.791385,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
1.039696,-1.490383,1.091555,-1.176743,0.267859,0.093215,1.039696,-1.039696,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,0.873,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
1.121881,-1.490383,1.091555,-1.176743,0.174916,0.093215,1.121881,-1.121881,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,0.954615,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
