@relation 'snake_game-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R5-6,8,23-weka.filters.unsupervised.attribute.AddExpression-Ea1-a15-NDist_tail_x-weka.filters.unsupervised.attribute.AddExpression-Ea2-a16-NDist_tail_y-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Horizontal_weight numeric
@attribute Vertical_weight numeric
@attribute Length numeric
@attribute Dist_tail_x numeric
@attribute Dist_tail_y numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.404255,0.042553,0.652174,0,0.595745,0.957447,0,0.5,0,0.5,1,1,1,1,0.468085,0.042553,0.884147,0.499851,0.025641,0.40625,0.491525,UP
0.808511,0.12766,0.847826,0.391304,0.191489,0.87234,0.5,0,0.5,0,0.056604,0,0.074074,0.088889,0.808511,0.425532,0.5,0.021661,0.307692,0.453125,0.254237,UP
0.468085,0.340426,0.608696,0.26087,0.531915,0.659574,0.5,0,0.5,0,0.056604,0,0.074074,0.377778,0.595745,0.531915,0.692073,0.019526,0.333333,0.359375,0.338983,UP
0.212766,0.489362,0.717391,0.086957,0.787234,0.510638,0.5,0,0.5,0,0.056604,0,0.074074,0.588889,0.212766,0.680851,0.5,0.038739,0.179487,0.453125,0.338983,UP
0.148936,0.297872,0.195652,0.130435,0.851064,0.702128,0.5,0,0.5,0,0.056604,0,0.074074,0.522222,0.234043,0.531915,0.724085,0.019526,0.333333,0.390625,0.305085,UP
0.638298,0.680851,0.934783,0.586957,0.361702,0.319149,0.5,0,0.5,0,0.056604,0,0.074074,0.466667,0.87234,0.829787,0.796534,0.01447,0.410256,0.28125,0.372881,UP
0.829787,0.148936,0.847826,0.282609,0.170213,0.851064,0.5,0,0.5,0,1,1,1,1,0.829787,0.212766,0.5,0.115591,0.025641,0.453125,0.440678,UP
1,0.93617,1,0.891304,0,0.06383,0.5,0,0.75,0.25,0.09434,0.037736,0.12963,0.444444,0.893617,0.957447,0.134146,0.060696,0.102564,0.53125,0.474576,UP
0.276596,0.957447,0.23913,0.76087,0.723404,0.042553,0.5,0,0.5,0,0.075472,0.018868,0.111111,0.822222,0.148936,1,0.158536,0.044431,0.153846,0.546875,0.457627,UP
0.659574,0.617021,0.630435,0.695652,0.340426,0.382979,0.5,0,0.5,0,0.056604,0,0.074074,0.422222,0.382979,0.723404,0.14955,0.01447,0.410256,0.65625,0.40678,UP
0.87234,0.659574,0.934783,0.978261,0.12766,0.340426,0.5,0,0.5,0,0.056604,0,0.074074,0.333333,0.87234,0.829787,0.5,0.044431,0.153846,0.453125,0.355932,UP
