@relation InstanceResultListener

@attribute Key_Dataset {'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18'}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.trees.DecisionStump,weka.classifiers.trees.RandomForest,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump'}
@attribute Key_Scheme_version_ID {1618384535950391,1116839470751428698,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',2,5,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,812,799,0,50.403476,49.596524,0,0.33282,0.265664,0.361776,70.920917,83.593982,3218.239476,2159.866246,1058.37323,1.997666,1.340699,0.656967,1187.083833,0.736861,36.886125,0,0,0,0,1,1238,1,373,?,0,?,?,0.660778,0.307934,0.504035,0.16694,0.83306,0.495965,?,0.504035,?,?,0.744136,0.483824,?,0.504035,0.005,0.001,0,0,0,0,2429,1013792,255011,97.765363,68.420236,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',3,1,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,807,804,0,50.09311,49.90689,0,0.328556,0.267211,0.36615,71.333909,84.604452,3218.239476,2227.934963,990.304513,1.997666,1.382952,0.614714,1172.676572,0.727918,36.43845,0,0,0,0,1,1238,1,373,?,0,?,?,0.643076,0.297745,0.500931,0.168276,0.831724,0.499069,?,0.500931,?,?,0.738216,0.47286,?,0.500931,0.006,0,0,0,0,0,2429,1013792,255011,96.710118,68.296089,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',3,2,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,810,801,0,50.27933,49.72067,0,0.331061,0.266387,0.364652,71.113883,84.258356,3218.239476,2200.839167,1017.400309,1.997666,1.366132,0.631533,1179.397101,0.73209,36.647276,0,0,0,0,1,1238,1,373,?,0,?,?,0.655287,0.304813,0.502793,0.167583,0.832417,0.497207,?,0.502793,?,?,0.740675,0.476471,?,0.502793,0.005,0.004,0,0.015625,0,15.625,2429,1013792,255011,97.33085,68.296089,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',3,3,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,807,804,0,50.09311,49.90689,0,0.328545,0.267244,0.366406,71.342618,84.66381,3218.239476,2229.555697,988.683779,1.997666,1.383958,0.613708,1172.227092,0.727639,36.424483,0,0,0,0,1,1238,1,373,?,0,?,?,0.652202,0.303021,0.500931,0.168298,0.831702,0.499069,?,0.500931,?,?,0.73795,0.472191,?,0.500931,0.005,0.001,0.015625,0,15.625,0,2429,1013792,255011,97.020484,68.280571,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',3,4,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,812,799,0,50.403476,49.596524,0,0.332654,0.265989,0.365304,71.007602,84.40909,3218.239476,2206.771734,1011.467741,1.997666,1.369815,0.627851,1181.02733,0.733102,36.697932,0,0,0,0,1,1238,1,373,?,0,?,?,0.652881,0.303507,0.504035,0.167279,0.832721,0.495965,?,0.504035,?,?,0.740775,0.474842,?,0.504035,0.006,0.001,0.015625,0,15.625,0,2429,1013792,255011,97.268777,68.187461,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',3,5,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,821,790,0,50.962135,49.037865,0,0.340387,0.263379,0.361091,70.311551,83.43709,3218.129631,2137.527459,1080.602173,1.997598,1.326833,0.670765,1201.636177,0.745895,37.339583,0,0,0,0,1,1238,1,373,?,0,?,?,0.659326,0.307362,0.509621,0.164737,0.835263,0.490379,?,0.509621,?,?,0.748281,0.485201,?,0.509621,0.011,0.001,0.015625,0,15.625,0,2429,1013792,255011,98.013656,68.140906,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',4,1,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,809,802,0,50.217256,49.782744,0,0.330544,0.266345,0.363603,71.103523,84.017444,3218.129631,2189.033301,1029.09633,1.997598,1.358804,0.638794,1180.924472,0.733038,36.695988,0,0,0,0,1,1238,1,373,?,0,?,?,0.655012,0.304576,0.502173,0.167158,0.832842,0.497827,?,0.502173,?,?,0.741653,0.479239,?,0.502173,0.009,0.001,0.015625,0,15.625,0,2429,1013792,255011,97.33085,68.373681,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',4,2,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,805,806,0,49.968963,50.031037,0,0.326886,0.267782,0.367185,71.486173,84.843696,3218.239476,2243.533643,974.705833,1.997666,1.392634,0.605032,1168.10626,0.725081,36.296437,0,0,0,0,1,1238,1,373,?,0,?,?,0.651798,0.302771,0.49969,0.168738,0.831262,0.50031,?,0.49969,?,?,0.736503,0.470319,?,0.49969,0.007,0,0,0,0,0,2429,1013792,255011,96.896338,68.296089,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',4,3,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,817,794,0,50.713842,49.286158,0,0.336775,0.264709,0.363955,70.665892,84.097266,3218.239476,2181.981592,1036.257883,1.997666,1.354427,0.643239,1190.251127,0.738828,36.984542,0,0,0,0,1,1238,1,373,?,0,?,?,0.649667,0.301705,0.507138,0.166236,0.833764,0.492862,?,0.507138,?,?,0.743845,0.47812,?,0.507138,0.006,0,0.015625,0,15.625,0,2429,1013792,255011,97.392924,68.10987,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',4,4,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,808,803,0,50.155183,49.844817,0,0.329402,0.266921,0.365429,71.256391,84.437907,3218.239476,2214.52178,1003.717695,1.997666,1.374626,0.62304,1175.300045,0.729547,36.519969,0,0,0,0,1,1238,1,373,?,0,?,?,0.654883,0.304561,0.501552,0.168022,0.831978,0.498448,?,0.501552,?,?,0.739228,0.474585,?,0.501552,0.006,0,0.015625,0,15.625,0,2429,1013792,255011,97.206704,68.311608,?,?
