@relation snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
-1.077051,-1.480973,0.279413,1.541907,1.554404,2.318883,-1.077051,1.077051,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.993253,-1.480973,0.279413,1.541907,1.461849,2.318883,-0.993253,0.993253,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.909454,-1.480973,0.279413,1.541907,1.369295,2.318883,-0.909454,0.909454,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.825655,-1.480973,0.279413,1.541907,1.276741,2.318883,-0.825655,0.825655,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.741857,-1.480973,0.279413,1.541907,1.184187,2.318883,-0.741857,0.741857,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.658058,-1.480973,0.279413,1.541907,1.091632,2.318883,-0.658058,0.658058,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.574259,-1.480973,0.279413,1.541907,0.999078,2.318883,-0.574259,0.574259,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.49046,-1.480973,0.279413,1.541907,0.906524,2.318883,-0.49046,0.49046,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.406662,-1.480973,0.279413,1.541907,0.813969,2.318883,-0.406662,0.406662,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.322863,-1.480973,0.279413,1.541907,0.721415,2.318883,-0.322863,0.322863,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.239064,-1.480973,0.279413,1.541907,0.628861,2.318883,-0.239064,0.239064,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.155266,-1.480973,0.279413,1.541907,0.536307,2.318883,-0.155266,0.155266,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
-0.071467,-1.480973,0.279413,1.541907,0.443752,2.318883,-0.071467,0.071467,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
0.012332,-1.480973,0.279413,1.541907,0.351198,2.318883,0.012332,-0.012332,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
0.09613,-1.480973,0.279413,1.541907,0.258644,2.318883,0.09613,-0.09613,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
0.179929,-1.480973,0.279413,1.541907,0.166089,2.318883,0.179929,-0.179929,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
0.263728,-1.480973,0.279413,1.541907,0.073535,2.318883,0.263728,-0.263728,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,RIGHT
0.347527,-1.480973,0.279413,1.541907,-0.019019,2.318883,0.347527,-0.347527,-1.480973,1.480973,1.383441,-0.02535,1.40604,-0.025945,2.953068,2.952447,2.935667,1.991237,-0.561012,-0.588513,1.682306,DOWN
0.347527,-1.401917,0.279413,1.541907,-0.019019,2.262569,0.347527,-0.347527,-1.401917,1.401917,-0.026522,1.393978,0.689057,0.696523,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-1.322862,0.279413,1.541907,-0.019019,2.206255,0.347527,-0.347527,-1.322862,1.322862,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-1.243806,0.279413,1.541907,-0.019019,2.149941,0.347527,-0.347527,-1.243806,1.243806,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-1.164751,0.279413,1.541907,-0.019019,2.093628,0.347527,-0.347527,-1.164751,1.164751,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
