@relation snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Score numeric
@attribute Length numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.151668,-1.607106,-1.703867,-1.782978,-1.817105,-0.364568,0.151668,-0.151668,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.006287,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.663664,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
0.234283,-1.607106,-1.703867,-1.782978,-1.889542,-0.364568,0.234283,-0.234283,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,0.076354,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.664803,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
0.316898,-1.607106,-1.703867,-1.782978,-1.96198,-0.364568,0.316898,-0.316898,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,0.158996,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.665943,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
0.399514,-1.607106,-1.703867,-1.782978,-2.034417,-0.364568,0.399514,-0.399514,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,0.241637,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.667082,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
0.482129,-1.607106,-1.703867,-1.782978,-2.106854,-0.364568,0.482129,-0.482129,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,0.324278,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.668222,-1.579939,-0.560386,-0.586162,1.686411,UP
0.482129,-1.688503,-1.703867,-1.782978,-2.106854,-0.290681,0.482129,-0.482129,-1.688503,1.688503,-0.021106,-1.445864,0.694275,-0.748386,3.934712,3.93447,3.895569,2.247345,0.40692,-1.592795,0.065635,-0.092344,0.011923,0.000604,-1.669362,-1.579939,1.784336,-0.586162,-0.592926,UP
0.482129,-1.769899,-1.703867,-1.782978,-2.106854,-0.216793,0.482129,-0.482129,-1.769899,1.769899,-0.021106,-1.445864,-0.021839,-1.472643,3.934712,3.93447,3.895569,2.247345,0.489561,-1.592795,-0.00634,-0.1651,0.011923,0.000604,-1.670501,-1.579939,1.784336,-0.586162,-0.592926,UP
0.482129,-1.851296,-1.703867,-1.782978,-2.106854,-0.142906,0.482129,-0.482129,-1.851296,1.851296,-0.021106,-1.445864,-0.021839,-1.472643,3.934712,3.93447,3.895569,2.247345,0.489561,-1.674582,-0.00634,-0.1651,0.011923,0.000604,-1.671641,-1.579939,1.784336,-0.586162,-0.592926,UP
0.482129,-1.932692,-1.703867,-1.782978,-2.106854,-0.069019,0.482129,-0.482129,-1.932692,1.932692,-0.021106,-1.445864,-0.021839,-1.472643,3.934712,3.93447,3.895569,2.247345,0.489561,-1.756369,-0.00634,-0.1651,0.011923,0.000604,-1.67278,-1.579939,1.784336,-0.586162,-0.592926,LEFT
0.399514,-1.932692,-1.703867,-1.782978,-2.034417,-0.069019,0.399514,-0.399514,-1.932692,1.932692,-1.428191,-0.023805,-0.737953,-0.748386,3.934712,3.93447,3.895569,2.247345,0.489561,-1.838156,-0.078316,-0.092344,0.011923,0.000604,-1.67392,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
