@relation snake_game-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
-1.307597,-1.412605,0.497752,-0.415888,2.18937,0.731062,-1.307597,1.307597,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-1.485781,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-1.223715,-1.412605,0.497752,-0.415888,2.091915,0.731062,-1.223715,1.223715,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-1.401697,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-1.139834,-1.412605,0.497752,-0.415888,1.99446,0.731062,-1.139834,1.139834,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-1.317612,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-1.055952,-1.412605,0.497752,-0.415888,1.897005,0.731062,-1.055952,1.055952,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-1.233528,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-0.972071,-1.412605,0.497752,-0.415888,1.79955,0.731062,-0.972071,0.972071,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-1.149444,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-0.888189,-1.412605,0.497752,-0.415888,1.702095,0.731062,-0.888189,0.888189,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-1.065359,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-0.804308,-1.412605,0.497752,-0.415888,1.604639,0.731062,-0.804308,0.804308,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.981275,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-0.720426,-1.412605,0.497752,-0.415888,1.507184,0.731062,-0.720426,0.720426,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.89719,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-0.636545,-1.412605,0.497752,-0.415888,1.409729,0.731062,-0.636545,0.636545,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.813106,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-0.552663,-1.412605,0.497752,-0.415888,1.312274,0.731062,-0.552663,0.552663,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.729022,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-0.468781,-1.412605,0.497752,-0.415888,1.214819,0.731062,-0.468781,0.468781,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.644937,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-0.3849,-1.412605,0.497752,-0.415888,1.117364,0.731062,-0.3849,0.3849,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.560853,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-0.301018,-1.412605,0.497752,-0.415888,1.019908,0.731062,-0.301018,0.301018,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.476769,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-0.217137,-1.412605,0.497752,-0.415888,0.922453,0.731062,-0.217137,0.217137,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.392684,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
