@relation snake_game-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
1.953398,-0.080631,1.626412,-1.340797,-0.021125,-1.051928,1.953398,-1.953398,-0.080631,0.080631,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.892629,-0.720495,-0.767664,-1.132824,-0.021125,-0.420753,-0.892629,0.892629,-0.720495,0.720495,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.060042,-0.960444,-0.908492,-1.202149,-0.021125,-0.305994,-1.060042,1.060042,-0.960444,0.960444,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.055562,1.119114,-0.063524,-1.618095,-0.021125,-2.14214,-0.055562,0.055562,1.119114,-1.119114,1.358182,-0.024729,1.378967,-0.025225,-0.547082,-0.573413,1.642099,UP
1.953398,0.159318,1.626412,-0.162283,-0.021125,-0.248615,1.953398,-1.953398,0.159318,-0.159318,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.781505,-1.200393,0.640616,-1.202149,-0.021125,-0.133856,0.781505,-0.781505,-1.200393,1.200393,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.785985,1.27908,1.485584,-1.0635,-0.021125,-1.797863,1.785985,-1.785985,1.27908,-1.27908,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.865211,-1.280376,0.71103,-1.410122,-0.021125,-0.248615,0.865211,-0.865211,-1.280376,1.280376,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.055562,-0.080631,-0.063524,-1.410122,-0.021125,-1.109308,-0.055562,0.055562,-0.080631,0.080631,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.562282,-0.160614,-1.330975,-0.231607,-0.021125,-0.076476,-1.562282,1.562282,-0.160614,0.160614,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
