@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,879,86,0,91.088083,8.911917,0,0.881115,0.055782,0.181193,14.880871,41.852826,1929.185764,6720.692472,-4791.506708,1.999156,6.964448,-4.965292,1695.739693,1.757243,87.899244,0.908696,209,0.02449,18,0.97551,717,0.091304,21,0.920705,0.908696,0.914661,0.888219,0.984789,0.968324,0.910881,0.029871,0.970129,0.089119,0.911215,0.910881,0.910922,0.881231,0.987607,0.965799,0.910972,0.910881,1.885,0.037,1.78125,0.046875,1781.25,46.875,8863554,2339830,262343,98.549223,31.943005,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,2,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8687,966,891,75,0,92.236025,7.763975,0,0.89643,0.050295,0.167459,13.416846,38.679882,1931.249555,2412.662875,-481.41332,1.999223,2.497581,-0.498357,1724.754137,1.78546,89.307678,0.922078,213,0.023129,17,0.976871,718,0.077922,18,0.926087,0.922078,0.924078,0.900289,0.993018,0.979206,0.92236,0.026034,0.973966,0.07764,0.9225,0.92236,0.922368,0.896468,0.991364,0.975762,0.922402,0.92236,2.043,0.038,1.875,0.046875,1875,46.875,9051807,2339561,262612,98.550725,31.21118,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,2,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8687,966,890,76,0,92.132505,7.867495,0,0.895058,0.051278,0.176925,13.679191,40.866389,1931.249555,4578.260226,-2647.010671,1.999223,4.7394,-2.740177,1715.614044,1.775998,88.834405,0.926407,214,0.020408,15,0.979592,720,0.073593,17,0.934498,0.926407,0.930435,0.908711,0.988541,0.9719,0.921325,0.026489,0.973511,0.078675,0.921401,0.921325,0.921324,0.894895,0.988943,0.968614,0.921738,0.921325,1.848,0.036,1.765625,0.03125,1765.625,31.25,8889977,2339561,262612,98.343685,30.745342,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,2,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8687,966,894,72,0,92.546584,7.453416,0,0.900578,0.049022,0.166079,13.077179,38.361258,1931.249555,2396.352428,-465.102873,1.999223,2.480696,-0.481473,1727.462951,1.788264,89.44794,0.926407,214,0.031293,23,0.968707,712,0.073593,17,0.902954,0.926407,0.91453,0.88734,0.992467,0.971101,0.925466,0.024847,0.975153,0.074534,0.925976,0.925466,0.925437,0.900889,0.992887,0.980094,0.92521,0.925466,1.954,0.041,1.84375,0.046875,1843.75,46.875,9053049,2339561,262612,98.861284,31.521739,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,2,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,887,78,0,91.917098,8.082902,0,0.892186,0.051622,0.176299,13.770956,40.722541,1929.185764,4582.940661,-2653.754897,1.999156,4.749161,-2.750005,1713.105424,1.775239,88.799402,0.926087,213,0.02585,19,0.97415,716,0.073913,17,0.918103,0.926087,0.922078,0.89757,0.985001,0.967768,0.919171,0.027087,0.972913,0.080829,0.919236,0.919171,0.919189,0.892113,0.988722,0.968599,0.919383,0.919171,2.116,0.034,1.859375,0.03125,1859.375,31.25,8894614,2339830,262343,98.031088,31.139896,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,2,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,885,80,0,91.709845,8.290155,0,0.889424,0.052047,0.172676,13.884231,39.88546,1929.207438,5623.971832,-3694.764394,1.999179,5.82795,-3.828771,1712.157189,1.774256,88.749253,0.926087,213,0.032653,24,0.967347,711,0.073913,17,0.898734,0.926087,0.912206,0.884362,0.986188,0.972663,0.917098,0.027584,0.972416,0.082902,0.917466,0.917098,0.917053,0.889667,0.990062,0.973695,0.916838,0.917098,1.919,0.037,1.78125,0.03125,1781.25,31.25,8936805,2339830,262343,98.549223,31.735751,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,2,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,884,81,0,91.606218,8.393782,0,0.888055,0.052518,0.17919,14.009724,41.389007,1929.304852,5648.526385,-3719.221533,1.99928,5.853395,-3.854116,1706.612274,1.76851,88.457367,0.896104,207,0.031335,23,0.968665,711,0.103896,24,0.9,0.896104,0.898048,0.866057,0.984374,0.953712,0.916062,0.027785,0.972215,0.083938,0.916357,0.916062,0.916135,0.888356,0.988539,0.966577,0.915715,0.916062,1.947,0.034,1.8125,0.046875,1812.5,46.875,8872593,2339830,262343,98.445596,31.295337,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,2,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,886,79,0,91.813472,8.186528,0,0.890801,0.054378,0.177035,14.505925,40.891314,1929.304852,6713.813875,-4784.509023,1.99928,6.95732,-4.95804,1703.962473,1.765764,88.320022,0.909091,210,0.025886,19,0.974114,715,0.090909,21,0.917031,0.909091,0.913043,0.885848,0.987252,0.954749,0.918135,0.027332,0.972668,0.081865,0.91818,0.918135,0.91811,0.890878,0.987898,0.967179,0.917959,0.918135,1.985,0.034,1.875,0.03125,1875,31.25,8805501,2339830,262343,98.238342,31.735751,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,2,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,891,74,0,92.331606,7.668394,0,0.89771,0.052212,0.171898,13.928424,39.705631,1929.222008,4559.025473,-2629.803466,1.999194,4.724379,-2.725185,1714.835268,1.777031,88.887399,0.926407,214,0.02861,21,0.97139,713,0.073593,17,0.910638,0.926407,0.918455,0.892558,0.989646,0.968795,0.923316,0.025576,0.974424,0.076684,0.923461,0.923316,0.923275,0.897846,0.989991,0.973239,0.923084,0.923316,2.005,0.038,1.859375,0.015625,1859.375,15.625,8928484,2339830,262343,98.341969,31.632124,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,2,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,881,84,0,91.295337,8.704663,0,0.883933,0.056653,0.182746,15.112969,42.211181,1929.222008,4592.973445,-2663.751437,1.999194,4.759558,-2.760364,1691.850046,1.753212,87.695975,0.909091,210,0.032698,24,0.967302,710,0.090909,21,0.897436,0.909091,0.903226,0.872542,0.988797,0.958443,0.912953,0.028701,0.971299,0.087047,0.913886,0.912953,0.913101,0.884459,0.988606,0.968653,0.912805,0.912953,1.927,0.036,1.828125,0.03125,1828.125,31.25,8885914,2339830,262343,98.238342,31.683938,?,-1
